Index,Review
817584,"I like the design a lot, but by the time it arrived, the weather here was too cold to wear it. So, I'll have it for next spring.[[ASIN:B01N2L2Y0A Meaneor Women's High Low Loose Long Blouse Casual T-shirt Top Black XL]]"
524385,"Another polyester shirt, pic looks like a tshirt type material."
1935551,"I am 5'3"" and the small is at my upper thigh in length. It needs to be listed as a t-shirt not a dress."
1420875,"T-shirt was fine, skirt was much too big; still adorable"
1634360,"Like the looks, have not worn it yet."
494986,Way smaller and cheaper looking than expected. Colors aren’t as rich looking. It looks more like a faded T-shirt. Not true to size. I even ordered up a size and it’s still too small. I’m currently a size 6.
1042728,"great t-shirt, comfortable. I ordered a men's medium for my 15 year old, fits perfect. He got a kick out of it because he loves bacon."
896955,"Wouldn't recommend buying this if you're looking for a sweatshirt. Really thin material. Not a sweatshirt, more like a long sleeve t-shirt."
1082738,Fabric is like tshirt material. Very thin. Kind of wanted sweatshirt style jacket.
731502,"It looks cute on me and I like the high waist part, somehow hiding my fat waist 233333. But it runs large. I usually wear large or 10-12 for tshirt/shirt/tank/one-piece dress and 8 for pant. I bought a large first and it runs super big. Then I changed to a medium and it's still a little big but not that bad. And since I don't have time to place another order before Ieft for my vacation, I just took the mid one."
159763,"This was a great present for my dad. It gave us all a good laugh, he wears it all the time, and it's a quality t-shirt. Love it!"
221037,Super thin not tshirt material as it looks in pic
574126,"This is NOT a sweatshirt... it is thin tshirt material designed as a sweatshirt! Purchased a 13-14y for my 8 year grandson (2nd grade) that weighs all of 72 lbs and wears size 12. He will be able to wear this shirt for only this season. Looks good in the picture (nice graphics) but it is poor quality. I do believe the fabric will bead after one or two washes. Also, the hood does not have a string. Very disappointed. Definitely not worth $20"
900188,"I would definitely recommend ordering a size down. I originally ordered this shirt for my boyfriend in a xl, however when it arrived we discovered that it fit more like an XXL. We ended up swapping shirts with one another and I wore it as an oversized t-shirt. The style was just as it appears on photos."
219817,"I ordered these for my granddaughters. They are nothing like the picture. They are very cheap material and workmanship. The ruffle on the bottom is not strips of material sewed together as shown, rather a printed t-shirt material sewed to the bottom. This is false advertisement. Don't waste your money. I was so disappointed when they arrived."
2020773,The image on the t-shirt is is off-center…. way to the left. Now it’s a shirt I just sleep in- bought another one (in blue) hoping it would be ok — and it was!
812135,"Fabric is soft and drapes nicely. So great to wear what is essentially a t-shirt but looks great as a dress. A go-to staple in y wardrobe. I am a petite size, so it comes down to my ankles, but does not require altering the hem for me."
552653,Its ok but not a sweater. Tshirt material
1711838,This was a total disappointment. I got the XL/18 size because I wanted it to be extra roomy (like in the picture) and it fits light a tight t-shirt. The length is also completely misrepresented and this is more of a shirt than a tunic. Definitely sized way small and not for tall people in the slightest.
762220,"Decent quality but a bit more fitted than I would like. Size up if you want to layer t-shirt underneath. The color and pattern is rather muted, much less vibrant than the photo enhanced picture. Returned and went with another brand."
1958356,"It's great unfortunately it doesn't have the band line-up on the back or choice of color but I like yellow so ""It's Casual."""
1010649,"A VERRRY shiny material. You can see every bump, wrinkle, lace, roll, whatever you got going on under it..youll see it. The black is ok, but youll HAVE to wear a tshirt bra underneath. I got the pink one too and i wont ever wear it.The lace up doesnt come down that far either :("
1343347,"This is the fourth time i wear this t-shirt, inside the house, never washed. Today i noticed the print is coming out. Such a really bad quality print. Never happened this to me with any other t-shirt. I will not recommend to anybody to buy this one. I have the pictures but for some reasons i don't know i can't post them."
607230,"This tunic looks great with white capris. Comfy. Only thing is after one wear I can see snags or little fuzz balls like a sweater gets, on chest area from necklace I was wearing. Material is stretchy like a T-shirt, pretty delicate."
674237,"Not t-shirt material, and way too small for the size it was supposed to be."
2189649,Absolutely the comfyiest Tshirt
1268851,"Perfect fit! Just Beautiful! Looks just like the picture! I'm 5'4.5 and 138 lbs athletic build 34ccc-29-36. I purchased the gray, in a small. It just barely touches the floor which I like so when I put heels on it won't be too short. It's a smooth stretchy t-shirt material. The dress can be worn inside out for a finished ""seamless"" look. I'm very pleased with this purchase and would purchase it again!"
1942804,"Love this t shirt so much I bought tow colours.Feels so soft. Stretchy, good quality looks great. Best T-shirt’s I have bought this year!"
637493,Very happy with my t-shirt. Fit was accurate!
442167,The dress arrived on time and fits a little big but I like it.
1592079,"You pay what you get for , cheap cheap cheap , the pocket fell off already !! Lol the material is very light almost like an under armor tshirt and the sizing is very small , incredibly small"
621941,"I don't know why I expected magic from this technology, but it didn't happen. In the end it's an OK t-shirt, nothing too custom tailored or extra flattering about it."
1155981,"Although the set looked nice, the applique wasn't sewn on well, and was peeling up off the t-shirt. Buy this one with caution."
1486618,"This is a slinky material, not a regular t-shirt material."
380018,I ordered the teal on 5/13 and it arrived via US mail 5/20 (wow). It is really cute. I ordered a M/L and I am a normal size 12. Honestly I could have ordered a small. The garment is really big but because the fabric is really soft (think we’ll worn T-shirt) it hangs cute. I think one size fits all is probably more accurate on the sizing. For the price (I paid $10.99 total including shipping) this is perfect. I am very pleased.
324073,"The ""t-shirt"" is literally see-through... not high quality at all."
1120019,"THIN!!! The product arrived after 3 days and looks just as pictured. My only complaint is that it’s thin like a long sleeved shirt. No it’s not a thin T-shirt, it’s a good weight T-shirt. But it’s advertised as a sweater... It is NOT a sweater. I wouldn’t pay 30$ for this T-shirt in person, so I may send it backUpdate: I decided to keep it. After washing it the first time, it shrunk in the dryer. I’m mad I didn’t return it"
1936012,I like how the Tshirt fits and I like that fabric it's made from. I am a mustang enthusiast - gonna have to get another one.
1414998,Very good and breathable material. I ordered the orange tshirt which looks very good. Perfect for gym.
91268,Was a nice tshirt
